Variable,Unidades,Tiempo de exposicion (horas),Year,Promedio,Suma,No. de datos,Representatividad Temporal,Excedencias limite actual,Porcentaje excedencias limite actual,Mediana,Percentil 98,Maximo,Minimo,Dias de excedencias,Nombre del Departamento,Nombre del Municipio,Tipo de Estacion
TAire2,Celsius,24,2020,25.3,9144.11,361,99.0,0,0.0,25.4,27.5,28.1,21.6,0,VALLE DEL CAUCA,CALI,Fija
DViento,deg,1,2020,20.4,1223444.0,7258,83.0,0,0.0,138.2,355.1,360.0,0.0,0,VALLE DEL CAUCA,CALI,Fija
DViento,deg,24,2020,94.3,35903.66,303,83.0,0,0.0,77.1,352.0,358.7,1.9,0,VALLE DEL CAUCA,CALI,Fija
PLiquida,mm,1,2020,0.1,669.3,7034,80.0,0,0.0,0.0,1.2,17.5,0.0,0,VALLE DEL CAUCA,CALI,Fija
PLiquida,mm,24,2020,2.3,664.0,292,80.0,0,0.0,0.6,15.3,21.4,0.0,0,VALLE DEL CAUCA,CALI,Fija
P,mmHg,1,2020,901.5,5420527.8,6013,68.0,0,0.0,901.7,905.7,907.6,882.0,0,VALLE DEL CAUCA,CALI,Fija
P,mmHg,24,2020,901.5,225368.9,250,68.0,0,0.0,901.5,903.8,904.4,898.0,0,VALLE DEL CAUCA,CALI,Fija
RGlobal,Wm2,1,2020,238.4,1702580.0,7143,81.0,0,0.0,0.0,666.0,671.0,0.0,0,VALLE DEL CAUCA,CALI,Fija
RGlobal,Wm2,24,2020,242.1,70920.95,293,80.0,0,0.0,247.5,272.7,281.2,126.2,0,VALLE DEL CAUCA,CALI,Fija
TAire2,Celsius,1,2020,27.3,226016.2,8271,94.0,0,0.0,26.8,34.7,37.4,18.5,0,VALLE DEL CAUCA,CALI,Fija
TAire2,Celsius,24,2020,27.3,9400.79,344,94.0,0,0.0,27.7,30.1,30.5,21.3,0,VALLE DEL CAUCA,CALI,Fija
VViento,ms,1,2020,0.7,5134.4,7243,82.0,0,0.0,0.6,2.4,4.8,0.0,0,VALLE DEL CAUCA,CALI,Fija
VViento,ms,24,2020,0.7,213.98,302,83.0,0,0.0,0.7,1.0,1.2,0.4,0,VALLE DEL CAUCA,CALI,Fija
PM10,ugm3,1,2020,32.7,240867.8,7375,84.0,394,5.34,26.4,92.4,160.6,1.1,55,SANTANDER,BUCARAMANGA,Fija
DViento,deg,1,2020,253.2,1554657.1,8734,99.0,0,0.0,181.4,350.5,360.0,0.0,0,VALLE DEL CAUCA,CALI,Fija
DViento,deg,24,2020,263.7,66628.19,365,100.0,0,0.0,199.7,342.5,358.7,0.4,0,VALLE DEL CAUCA,CALI,Fija
PLiquida,mm,1,2020,0.1,1246.4,8734,99.0,0,0.0,0.0,1.0,58.8,0.0,0,VALLE DEL CAUCA,CALI,Fija
PLiquida,mm,24,2020,3.4,1246.4,365,100.0,0,0.0,0.0,39.9,86.8,0.0,0,VALLE DEL CAUCA,CALI,Fija
P,mmHg,1,2020,900.7,7319268.8,8126,93.0,0,0.0,901.3,905.5,907.4,879.4,0,VALLE DEL CAUCA,CALI,Fija
P,mmHg,24,2020,900.7,300846.15,334,91.0,0,0.0,901.0,903.8,904.3,883.4,0,VALLE DEL CAUCA,CALI,Fija
RGlobal,Wm2,1,2020,192.7,1560124.1,8097,92.0,0,0.0,14.0,812.3,1013.2,0.0,0,VALLE DEL CAUCA,CALI,Fija
RGlobal,Wm2,24,2020,183.5,59083.32,322,88.0,0,0.0,185.2,257.2,304.7,72.7,0,VALLE DEL CAUCA,CALI,Fija
TAire2,Celsius,1,2020,25.0,218664.3,8743,100.0,0,0.0,24.1,32.8,37.7,15.0,0,VALLE DEL CAUCA,CALI,Fija
TAire2,Celsius,24,2020,25.0,9128.87,365,100.0,0,0.0,25.0,29.1,30.3,21.4,0,VALLE DEL CAUCA,CALI,Fija
VViento,ms,1,2020,2.5,22210.8,8734,99.0,0,0.0,2.0,8.7,16.5,0.0,0,VALLE DEL CAUCA,CALI,Fija
VViento,ms,24,2020,2.5,928.42,365,100.0,0,0.0,2.5,3.9,4.6,1.5,0,VALLE DEL CAUCA,CALI,Fija
P,mmHg,1,2020,903.6,7482203.1,8280,94.0,0,0.0,904.2,908.3,910.0,884.2,0,VALLE DEL CAUCA,CALI,Fija
P,mmHg,24,2020,903.7,311766.54,345,94.0,0,0.0,903.9,906.7,907.0,888.2,0,VALLE DEL CAUCA,CALI,Fija
TAire2,Celsius,1,2020,26.6,220546.2,8305,95.0,0,0.0,26.0,33.4,36.3,18.6,0,VALLE DEL CAUCA,CALI,Fija
TAire2,Celsius,24,2020,26.6,9188.63,346,95.0,0,0.0,26.6,28.9,29.4,21.4,0,VALLE DEL CAUCA,CALI,Fija
DViento,deg,24,2020,101.9,36513.07,364,99.0,0,0.0,100.3,144.7,165.5,42.6,0,VALLE DEL CAUCA,CALI,Fija
PLiquida,mm,1,2020,0.1,945.2,8737,99.0,0,0.0,0.0,1.0,28.8,0.0,0,VALLE DEL CAUCA,CALI,Fija
PLiquida,mm,24,2020,2.6,933.4,364,99.0,0,0.0,0.0,22.6,53.8,0.0,0,VALLE DEL CAUCA,CALI,Fija
P,mmHg,1,2020,903.4,7892865.0,8737,99.0,0,0.0,904.0,907.0,909.0,896.0,0,VALLE DEL CAUCA,CALI,Fija
P,mmHg,24,2020,903.4,328830.06,364,99.0,0,0.0,903.4,905.7,906.2,899.0,0,VALLE DEL CAUCA,CALI,Fija
RGlobal,Wm2,1,2020,323.0,2762085.0,8552,97.0,0,0.0,0.0,988.0,992.0,0.0,0,VALLE DEL CAUCA,CALI,Fija
